num-flashcard,english-word,irregular-english-word,definition,example-sentence,translate-example-sentence
859,neat,,"1. (adj.) Aseado, ordenado.",I keep my room really neat and tidy.,Mantengo mi habitación muy limpia y ordenada.
860,lazy,,"1. (adj.) Perezoso, vago, haragán. ; 2. (adj.) Flojo.",Louis was very lazy when he was a teenager.,Louis era muy flojo cuando era un adolescente.
861,journey,,"1. (sus.) Trayecto, tramo.  ; 2. (sus.) Viaje, travesía.","It's not the destination that matters, but the journey.","No es el destino lo que importa, sino el viaje."
862,balance,,1. (v.) Balancear.,Malcolm is good at balancing things on his head.,Malcolm es bueno equilibrando las cosas en su cabeza.
863,skill,,"1. (sus.) Habilidad, destreza.",I'm sure he has other skills.,Estoy seguro de que tiene otras habilidades.
864,mess up,,"1. (v.) Desordenar, estropear",I think I might have messed up that sentence.,Creo que podría haber estropeado esa oración.
865,hug,,1. (v.) Abrazar.,Does Jennifer ever hug her kids?,¿Jennifer alguna vez abraza a sus hijos?
866,umbrella,,1. (sus.) Paraguas.  ; 2. (sus.) Sombrilla.,"It's about to rain, but I forgot my umbrella.","Está a punto de llover, pero olvidé mi paraguas."
867,bold,,"1. (adj.) Audaz  ; 2. (adj.) Intenso, fuerte (color).",It was the boldest thing that Adriana had ever done.,Fue lo más audaz que Adriana había hecho jamás.
868,grateful,,1. (adj.) Agradecido.,I'm grateful for what she did.,Estoy agradecido por lo que hizo.
869,thunder,,"1. (sus.) Truenos, estruendo",He was woken up by a sudden clap of thunder.,Lo despertó un repentino trueno.
870,jail,,"1. (sus.) Cárcel, prisión.","Sebastian is still in jail, isn't he?","Sebastián sigue en la cárcel, ¿no?"
871,ankle,,1. (sus.) Tobillo.,Romeo twisted his ankle while going up the stairs.,Romeo se torció el tobillo mientras subía las escaleras.
872,mix up,,"1. (v.) Cambiar, mezclar ; 2. (v.) Confundir",Mary likes to mix it up every so often.,A Mary le gusta cambiarlo de vez en cuando.
873,charm,,1. (sus.) Encanto.  ; 2. (sus.) Hechizo.,It's part of her charm.,Es parte de su encanto.
874,tale,,1. (sus.) Relato o cuento.,Children love reading fairy tales.,A los niños les encanta leer cuentos de hadas.
875,thrill,,1. (sus.) Emoción.,I'm thrilled you decided to come with me!,¡Estoy emocionada de que hayas decidido venir conmigo!
876,throughout,,"1. (prep.) En todo/toda, durante ; 2. (prep.) A lo largo de todo/toda.",Alan and Robert were best friends throughout highschool,Alan y Robert fueron mejores amigos durante la secundaria.
877,lap,,1. (sus.) Regazo.,Martin sat calmly with his hands in his lap.,Martin se sentó tranquilamente con las manos en el regazo.
878,skip,,1. (v.) Saltarse.,I might have to skip lunch if I want to finish this today.,Puede que tenga que saltarme el almuerzo si quiero terminar esto hoy.
879,forever,,"1. (adv.) Eternamente, para siempre.",What's taking her so long? She's been in the bathroom forever.,¿Qué le está tomando tanto tiempo? Ha estado en el baño una eternidad.
880,nest,,1. (sus.) Nido.,Do you see the nest in the tree?,¿Ves el nido en el árbol?
881,move out,,1. (v.) Mudarse,Joe is moving out next month if you need a room.,Joe se mudará el próximo mes si necesitas una habitación.
882,fee,,"1. (sus.) Tarifa, cuota.",There's a fee for admission.,Hay una tarifa de admisión.
883,filthy,,"1. (adj.) Mugriento, sucio.  ; 2. (adj.) Asqueroso.",Seth came home from baseball practice filthy.,Seth llegó sucio de la práctica de béisbol.
884,refer,,1. (v.) Consultar.  ; 2. (v.) Referirse.,He referred to his notes.,Consultó sus notas.
885,spin,spun,"1. (v.) Girar, rotar.",The fan stopped spinning but I was able to fix it with some oil.,El ventilador dejo de girar pero pude arreglarlo con aceite.
886,joy,,"1. (sus.) Gozo, alegría, regocijo.",Cameron and Sarah were crying tears of joy.,Cameron y Sarah lloraban lágrimas de alegría.
887,partner,,1. (sus.) Socio.  ; 2. (v.) Asociar.,They decided to become business partners.,Decidieron convertirse en socios comerciales.
888,sample,,"1. (sus.) Muestra.  ; 2. (v.) Tomar muestras, probar.",The sample isn't pure enough.,La muestra no es lo suficientemente pura.
889,pick on,,"1. (v.) Meterse con, fastidiar a",Why do you always pick on your brother like that.,¿Por qué siempre te metes con tu hermano de esa manera?
890,crop,,"1. (sus.) Cosecha, cultivo",The flood ruined the crops.,La inundación arruinó las cosechas.
891,stroke,,"1. (sus.) Caricia, golpe.",Jeremy stroked the horse to calm it down.,Jeremy acarició al caballo para calmarlo.
892,pat,,1. (sus.) Palmada.                                                                           ; 2. (v.) Dar palmadas.,He pat his dog on the head.,Le dio unas palmaditas a su perro en la cabeza.
893,puzzle,,1. (sus.) Acertijo.  ; 2. (sus.) Rompecabezas.,This puzzle is too difficult for me.,Este rompecabezas es demasiado difícil para mí.
894,tire,,1. (sus.) Llanta  ; 2. (sus.) Neumático,They had new tires put on their car.,Le pusieron llantas nuevas a su carro.
895,stab,,1. (v.) Apuñalar,She stabbed him with a knife.,Ella lo apuñaló con un cuchillo.
896,grind,ground,1. (v.) Moler.,I grind my coffee very fine.,Muelo mi café muy fino.
897,put away,,"1. (v.) Guardar, poner en su sitio ; 2. (v.) Ahorrar (dinero)",Put away your notebooks! We're going to have a test.,¡Guarden sus cuadernos! Vamos a tener un examen.
898,ourselves,,"1. (pron.) Nos, nosotros",We did our work all by ourselves.,Hicimos nuestro trabajo nosotros solos.
899,disposal,,1. (sus.) Eliminación.,Jared is a bomb disposal expert.,Jared es un experto en desactivación de bombas.
900,puppet,,"1. (sus.) Marioneta, títere.",Kelsey played with the puppets.,Kelsey jugó con los títeres.
901,strip,,1. (sus.) Tira.,Cut your meat into strips so that it's easier to eat.,Corta la carne en tiras para que sea más fácil de comer.
902,guilt,,1. (sus.) Culpa.  ; 2. (sus.) Culpabilidad.,I feel really guilty whenever I lie.,Me siento muy culpable cada vez que miento.
903,lung,,1. (sus.) Pulmón.,We sang until our lungs hurt.,Cantábamos hasta que nos dolían los pulmones.
904,remark,,1. (sus.) Comentario.   ; 2. (v.) Observar.,Nick ignored Sally's rude remark.,Nick ignoró el comentario grosero de Sally.
905,put on,,"1. (v.) Ponerse, aplicarse",Let me put on some makeup and we'll leave.,Déjame ponerme maquillaje y nos vamos.
906,goal,,"1. (sus.) Meta, objetivo. ; 2. (sus.) Gol.",What is your goal with this project?,¿Cuál es tu objetivo con este proyecto?
907,basement,,1. (sus.) Sótano.,Why don't we hide in the basement?,¿Por qué no nos escondemos en el sótano?
908,heel,,1. (sus.) Talón.,Kobe hurt his heel while running.,Kobe se lastimó el talón mientras corría.
909,tax,,1. (sus.) Impuesto.  ; 2. (v.) Asignar o cobrar impuestos.,I just paid all my taxes.,Acabo de pagar todos mis impuestos.
910,put up with,,"1. (v.) Aguantar, soportar",I can't believe she puts up with your complaining.,No puedo creer que aguante tus quejas.
911,meanwhile,,"1. (adv.) Entretanto, mientras tanto.","Meanwhile, time is running out.","Mientras tanto, el tiempo se acaba."
912,groceries,,"1. (sus.) Comestibles, alborrotes. ; 2. (adj.) Relacionado con las compras domésticas o de alimentos.",Please help your mother put away the groceries.,"Por favor, ayuda a tu madre a guardar las compras."
913,reject,,1. (v.) Rechazar,He rejected the first offer hoping to get a second.,Rechazó la primera oferta con la esperanza de conseguir una segunda.
914,chess,,1. (sus.) Ajedrez,Winston's played chess for most of his life.,Winston ha jugado al ajedrez la mayor parte de su tiempo.
915,wardrobe,,1. (sus.) Armario,Her dress is in the wardrobe.,Su vestido está en el armario.
916,workout,,1. (sus.) Entrenamiento. ; 2. (sus.) Ejercicio.,Did you have a good workout?,¿Tuviste un buen entrenamiento?
917,storage,,"1. (sus.) Depósito, almacenamiento, almacenaje.",There's storage space under the stairs.,Hay un espacio de almacenamiento debajo de las escaleras.
918,forest,,1. (sus.) Bosque.,I love going on long walks in the forest.,Me encanta dar largos paseos por el bosque.
919,rip off,,"1. (v.) Timar, estafar",This place always tried to rip you off.,Este lugar siempre trató de estafarte.
920,pump,,1. (sus.) Bomba (dispositivo que bombea).   ; 2. (v.) Bombear gasolina.,We get our water from a pump in the backyard.,Obtenemos el agua de una bomba en el patio trasero.
921,skull,,1. (sus.) Cráneo. ; 2. (sus.) Calavera.,Jake has a tattoo of a skull on his chest.,Jake tiene un tatuaje de una calavera en el pecho.
922,senior,,"1. (adj.) Mayor, con más experiencia o antigüedad.  ; 2. (adj.) Que tiene un rango más alto o una posición superior.",My grandparents are seniors.,Mis abuelos son personas mayores.
923,broad,,1. (adj.) Amplio.,This class should give you a broad understanding of the topic.,Esta clase debe darle una comprensión amplia del tema.
924,run into,,"1. (v.) Toparse con, encontrarse con",Guess who I ran into today!,¡Adivina con quién me encontré hoy!
925,pleasant,,"1. (adj.) Placentero, agradable.",It was a very pleasant evening.,Fue una velada muy agradable.
926,polite,,"1. (adj.) Educado, cortés.",He was really polite when I met him.,Fue muy educado cuando lo conocí.
927,run out of,,"1. (v.) Quedarse sin, acabarse",We're about to run out of rum.,Estamos a punto de quedarnos sin ron.
928,approach,,"1. (v.) Acercar, aproximar.  ; 2. (sus.) Método.",He approached me during our last meeting.,Se acercó a mí durante nuestra última reunión.
929,backwards,,1. (adj.) Al revés. ; 2. (sus.) Reverso.,He put his shirt on backwards.,Se puso la camisa al revés.
930,chin,,"1. (sus.) Barbilla, mentón",She scratched her chin and looked out the window.,Se rascó la barbilla y miró por la ventana.
931,fare,,1. (sus.) Tarifa.,How much is the bus fare?,¿Cuánto es la tarifa del autobús?
932,run over,,1. (v.) Atropellar,My dog got run over by a driver yesterday.,Mi perro fue atropellado por un conductor ayer.
933,heaven,,"1. (sus.) Cielo, firmamento.",Christians believe that you go to heaven after you die.,Los cristianos creen que vas al cielo después de morir.
934,however,,"1. (adv.) Sin embargo, no obstante.  ; 2. (adv.) Cómo.",I have work. I would like to go however.,"Tengo trabajo. Sin embargo, me gustaría ir."
935,danger,,1. (sus.) Peligro.,You were never in any real danger.,Nunca estuviste en un peligro real.
936,screw up,,"1. (v.) Arruinar, fastidiar",I always screw up my order.,Siempre arruino mi pedido.
937,arrange,,1. (v.) Arreglar.  ; 2. (v.) Ordenar.,I might be able to arrange that.,Yo podría ser capaz de arreglar eso.
938,warehouse,,"1. (sus.) Bodega, almacén.",Julius waited for Stephanie in front of the warehouse.,Julius esperó a Stephanie frente al almacén.
939,loop,,"1. (sus.) Lazo, bucle.",The highway is a big loop around the city.,La autopista es un gran bucle alrededor de la ciudad.
940,set up,,"1. (v.) Establecer, configuar, montar",Can you help me set up my new computer?,¿Pueden ayudarme a configurar mi nueva computadora?
941,assure,,1. (v.) Asegurar.  ; 2. (v.) Convencer.,Alec and Brooke assured us that they won't do that anymore.,Alec y Brooke nos aseguraron que ya no harán eso.
942,fist,,1. (sus.) Puño.,Make a fist with both hands and hit the table.,Haz un puño con ambas manos y golpea la mesa.
943,mud,,1. (sus.) Barro. ; 2. (sus.) Lodo.,The boys played in the mud.,Los niños jugaban en el barro.
944,twin,,"1. (sus.) Gemelo, mellizo.",Have you met Nathan's twin? They're identical!,¿Conoces al gemelo de Nathan? ¡Son idénticos!
945,draw,drew,1. (v.) Dibujar.,She likes to draw in her free time.,Le gusta dibujar en su tiempo libre.
946,settle down,,"1. (v.) Calmar, disipar.  ; 2. (v.) Colonizar.",She's looking for someone to settle down with.,Ella está buscando a alguien con quien sentar cabeza.
947,survive,,1. (v.) Sobrevivir.,I had to do that to survive.,Tuve que hacer eso para sobrevivir.
948,urge,,"1. (sus.) Impulso, necesidad",Oscar felt the urge to look around.,Oscar sintió la necesidad de mirar a su alrededor.
949,alike,,"1. (adj.) Parecido, semejante.  ; 2. (adj.) Igual.",They all look alike.,Todos se parecen.
950,pursue,,"1. (v.) Perseguir, buscar.  ; 2. (v.) Ejercer.",You should always pursue your interests.,Siempre debes perseguir tus intereses.
951,show off,,"1. (v.) Presumir, alardear",Mike likes to show off his record collection.,A Mike le gusta presumir su colección de discos.
952,nightmare,,1. (sus.) Pesadilla.,David had nightmares of dogs chasing him.,David tenía pesadillas de perros persiguiéndolo.
953,offensive,,1. (adj.) Ofensivo ; 2. (adj.) Insultante,It's an offensive joke.,Es una broma ofensiva.
954,amount,,"1. (sus.) Cantidad, monto.  ; 2. (v.) Totalizar, sumar.",That's a huge amount of money to lose.,Esa es una gran cantidad de dinero para perder.
955,earn,,"1. (v.) Ganar, recibir una retribución  ; 2. (v.) Merecer",You need to earn the respect of your colleagues.,Tienes que ganarte el respeto de tus compañeros.
956,shut up,,1. (v.) Callarse,Please shut up. I can't think while you're talking.,Por favor cállate. No puedo pensar mientras hablas.
957,hesitate,,"1. (v.) Vacilar, dudar.",I didn't hesitate at all.,No dudé en lo absoluto.
958,pray,,"1. (v.) Orar.  ; 2. (v.) Rogar, hacer una plegaria.",Cooper said that he was praying for us.,Cooper dijo que estaba orando por nosotros.
959,sleep in,,1. (v.) Dormir hasta tarde,I like to sleep in on Sundays.,Me gusta dormir hasta tarde los domingos.
960,rage,,1. (sus.) Rabia.,George felt the rage boiling in his stomach.,George sintió la rabia hirviendo en su estómago.
961,savage,,"1. (sus.) Salvaje.  ; 2. (adj.) Salvaje, violento.",Only savages eat plain yogurt!,¡Solo los salvajes comen yogur natural!
962,improve,,1. (v.) Mejorar.,"He's improving every day, but still not in great condition.","Está mejorando todos los días, pero aún no está en excelentes condiciones."
963,speak up,spoke up,1. (v.) Hablar más alto,"You should speak up, I don't think he heard you.","Deberías habla más alto, no creo que te haya oído."
964,steady,,1. (adj.) Firme.  ; 2. (adj.) Estable.,Leila has never had a steady job.,Leila nunca ha tenido un trabajo estable.
965,purchase,,"1. (sus.) Compra, adquisición.  ; 2. (v.) Comprar.",Online purchases made up 60% of all sales last year.,Las compras en línea representaron el 60% de todas las ventas el año pasado.
966,church,,1. (sus.) Iglesia.,His family goes to church every Sunday.,Su familia va a la iglesia todos los domingos.
967,stay up,,"1. (v.) Quedarse despierto, desvelarse",He hates staying up past midnight.,Odia quedarse despierto hasta pasada la medianoche.
968,bizarre,,"1. (adj.) Extraño, raro.",Nadia had a really bizarre dream.,Nadia tuvo un sueño realmente extraño.
969,toss,,"1. (v.) Tirar, lanzar, echar.  ; 2. (v.) Desechar, botar, eliminar.",I tossed the bag into the trunk of the car.,Eché la bolsa en el maletero del coche.
970,budget,,"1. (sus.) Presupuesto.                                                           ; 2. (v.) Organizar, estimar.",Heather has trouble budgeting her time.,Heather tiene problemas para organizar su tiempo.
971,crew,,1. (sus.) Equipo.  ; 2. (sus.) Grupo.,Are you a member of this crew?,¿Eres miembro de este equipo?
972,ditch,,1. (v.) Deshacerse  ; 2. (v.) Abandonar,Tom ditched Mary to go hang out with Ben.,Tom abandonó a Mary para salir con Ben.
973,throw up,,"1. (v.) Devolver, vomitar",Airplanes always make me feel like I need to throw up.,Los aviones siempre me hacen sentir que necesito vomitar.
974,tool,,1. (sus.) Herramienta.,Sharon has the right tools for that.,Sharon tiene las herramientas adecuadas para eso.
975,fence,,"1. (sus.) Cerca, cerco.  ; 2. (sus.) Valla.",I didn't help Colin paint the fence.,No ayudé a Colin a pintar la cerca.
976,delight,,1. (v.) Deleitar. ; 2. (v.) Hacer feliz.,Edward was delighted by the results.,Edward estaba deleitado con los resultados.
977,try on,,1. (v.) Probarse,Do you have somewhere I can try this on?,¿Tienes algún lugar donde pueda probar esto?
978,brick,,1. (sus.) Ladrillo.,Dean accused Rachel of throwing a brick through his window.,Dean acusó a Rachel de tirar un ladrillo a través de su ventana.
979,dismiss,,1. (v.) Descartar  ; 2. (v.) Desestimar,Lucy dismissed what Mary was saying.,Lucy descartó lo que Mary estaba diciendo.
980,display,,"1. (sus.) Exposición, espectáculo.  ; 2. (sus.) Demostración.",The children were excited by the fireworks display,Los niños se emocionaron con el espectáculo de fuegos artificiales.
981,relieve,,1. (adj.) Aliviado.,I was relieved to finally get home.,Me sentí aliviado de finalmente llegar a casa.
982,turn into,,1. (v.) Convertirse en,"If he doesn't go outside, he's going to turn into a vampire.","Si no sale, se va a convertir en vampiro."
983,likely,,"1. (adj.) Probable, posible. ; 2. (adv.) Probablemente.",It's likely going to rain tomorrow.,Es probable que llueva mañana.
984,glow,,1. (v.) Brillar.  ; 2. (v.) Resplandecer.,It started glowing with a faint red light.,Empezó a brillar con una tenue luz roja.
985,blend,,"1. (v.) Mezclar, combinar.","I just blend together some strawberries, a banana and yogurt for my breakfast.","Solo mezclo algunas fresas, un plátano y yogur para mi desayuno."
986,watch out,,"1. (v.) Tener cuidado, estarse atento",Watch out! There's a car coming.,¡Cuidado! Viene un coche.
987,blade,,"1. (sus.) Hoja, filo, cuchillo.  ; 2. (sus.) Espada.",This knife has a very sharp blade.,Este cuchillo tiene una hoja muy afilada.
988,bride,,1. (sus.) Novia (en una boda).,He was dancing with the bride.,Estaba bailando con la novia.
989,wear out,wore out,"1. (v.) Gastar, desgastar. ; 2. (v.) Agotarse, cansar",My favorite shoes finally wore out after 2 years.,Mis zapatos favoritos finalmente se desgastaron después de 2 años.
990,sting,,1. (v.) Picar  ; 2. (v.) Pinchar,Did you get stung by a bee?,¿Te picó una abeja?
991,warn,,"1. (v.) Advertir, avisar.","Peter tried to warn Lauren, but she ignored him.","Peter trató de advertir a Lauren, pero ella lo ignoró."
992,bush,,1. (sus.) Arbusto.,Valerie hid in the bushes.,Valerie se escondió en los arbustos.
993,glimpse,,"1. (sus.) Vistazo, ojeada.  ; 2. (v.) Atisbar, vislumbrar.",Richard got a little glimpse of what it was like to be rich.,Richard pudo vislumbrar un poco lo que era ser rico.
994,gather,,"1. (v.) Congregarse, reunirse.",They gathered at the coffee shop for a meeting.,Se reunieron en la cafetería para una reunión.
995,surround,,1. (v.) Rodearse.,Zachary likes to be surrounded by his friends.,A Zachary le gusta estar rodeado de sus amigos.
996,cease,,"1. (v.) Cesar, dejar.",You never cease to amaze me.,Nunca dejas de sorprenderme.
997,shadow,,"1. (sus.) Sombra.  ; 2. (v.) Seguir de cerca, en especial en secreto.",Riley was hiding in the shadows.,Riley estaba escondida en las sombras.
998,grip,,1. (sus.) Empuñadura.  ; 2. (v.) Agarrar.,Kyle gripped the handle of his cup.,Kyle agarró el asa de su taza.
999,sketch,,1. (sus.) Boceto de dibujo.,This is a sketch of Tom.,Este es un boceto de Tom.
1000,punish,,"1. (v.) Castigar, sancionar.  ; 2. (v.) Dar una paliza.",Blake and Harley punished their children.,Blake y Harley castigaron a sus hijos.
